id,pA,pB,pTie
65089,0.29098603,0.38505659,0.3239574
313413,0.54455686,0.21036607,0.24507706
933555,0.23814675,0.40648216,0.35537118
1458108,0.22503175,0.44749203,0.32747617
1594211,0.43331513,0.28614965,0.2805353
3567106,0.19344299,0.56108123,0.24547575
3590999,0.07639787,0.06512253,0.85847956
4186011,0.14128321,0.7069426,0.1517741
4683272,0.10232125,0.090346016,0.80733275
4970917,0.49257734,0.2724437,0.23497897
4990514,0.092834234,0.0838069,0.82335883
5378146,0.4557122,0.25816822,0.28611952
5530797,0.37423825,0.3201629,0.30559888
6274602,0.293347,0.40027058,0.3063824
6853605,0.5676339,0.21553,0.21683607
7047857,0.7869045,0.09233279,0.120762676
7484756,0.28387854,0.41016695,0.30595455
7886413,0.37916937,0.296668,0.32416266
8108394,0.39063248,0.36118367,0.24818385
8639923,0.22586358,0.2664458,0.50769067
10156891,0.3528519,0.36308202,0.28406602
10349570,0.3218477,0.32876772,0.34938458
10909236,0.7929789,0.084733665,0.12228742
12688674,0.24037321,0.48739251,0.27223426
12747778,0.24760002,0.2671235,0.4852765
13035190,0.27754962,0.48695204,0.2354983
13394448,0.48472074,0.2943138,0.22096542
13896087,0.3134111,0.33605364,0.35053524
14280062,0.288125,0.25542545,0.45644957
14354101,0.23612185,0.2513666,0.51251155
15132484,0.23074767,0.4025039,0.36674842
15193241,0.44711038,0.31749886,0.23539074
15214568,0.28817156,0.33961356,0.37221494
15641037,0.40291893,0.35016847,0.24691261
15762385,0.4863702,0.25477594,0.25885382
16441516,0.2840412,0.28743535,0.4285235
16587778,0.2730502,0.28450188,0.4424479
17452762,0.07801149,0.8160602,0.10592832
18094964,0.1851639,0.6134703,0.20136583
18229379,0.23535873,0.21771908,0.54692215
18419266,0.13536476,0.71153134,0.15310389
19086537,0.25381944,0.49372795,0.25245252
19108602,0.36092153,0.25803846,0.38104
19190525,0.48566833,0.26544496,0.24888672
19351701,0.47362307,0.29883045,0.22754645
19919902,0.63691777,0.14993635,0.21314594
19965981,0.40355092,0.30895054,0.28749862
20191819,0.47021934,0.27303082,0.25674975
20323081,0.31199217,0.33869734,0.34931052
20358281,0.39348137,0.3113386,0.29518002
22179610,0.3556652,0.31348753,0.33084726
22203562,0.2614759,0.23641044,0.5021137
