id,pA,pB,pTie
198779,0.4524561,0.26501778,0.28252622
370945,0.23198785,0.5493645,0.21864767
497862,0.42699966,0.28428045,0.28871995
738614,0.35371843,0.38596386,0.2603177
862324,0.19140135,0.5505363,0.25806242
863398,0.19983454,0.5912896,0.20887588
887722,0.24514978,0.26131636,0.49353382
1256092,0.2944169,0.23414032,0.47144285
1842252,0.50889784,0.25861087,0.23249134
2154496,0.37511283,0.31899774,0.30588946
2298796,0.39999443,0.32218105,0.27782458
2802516,0.33040705,0.32468966,0.34490335
2944182,0.16277206,0.18384667,0.6533813
3445782,0.4169972,0.33457443,0.24842837
3578663,0.2598438,0.2791579,0.4609983
4486480,0.2744489,0.3476686,0.37788248
4615863,0.10971611,0.7269241,0.1633597
5187535,0.20914404,0.26231214,0.52854383
5973148,0.49651775,0.27525547,0.2282267
6241568,0.37731683,0.32320902,0.29947415
7021095,0.5024218,0.25382584,0.24375238
8027538,0.46496195,0.3066242,0.22841388
9420277,0.24330504,0.4528195,0.30387536
9865433,0.18090245,0.1898741,0.6292234
10798145,0.39987063,0.2813289,0.31880048
10966560,0.39592987,0.2965271,0.3075431
10974521,0.2125318,0.5203444,0.26712382
11089285,0.6147954,0.1877142,0.19749035
11462903,0.6692622,0.13948976,0.19124807
11466834,0.4687904,0.2766838,0.25452578
11477748,0.2777264,0.444507,0.2777666
11570555,0.20448196,0.19618823,0.5993298
11607871,0.36339128,0.3841618,0.2524469
12749848,0.09424013,0.7819663,0.12379353
13651087,0.31338835,0.40552196,0.28108975
13678371,0.6636674,0.15760426,0.17872839
13744661,0.6595639,0.16250338,0.1779327
14819628,0.3897661,0.35087135,0.25936258
15097210,0.41944656,0.24989593,0.33065757
15828515,0.49210352,0.250407,0.25748944
15909896,0.3476937,0.3544403,0.29786608
16134621,0.17190032,0.16823983,0.65985984
16345289,0.32879028,0.33282664,0.33838305
16593225,0.34800458,0.28032744,0.37166795
16956280,0.24174371,0.27050152,0.48775467
17579220,0.17220446,0.29159015,0.5362054
18138965,0.35564628,0.35135782,0.29299596
18655827,0.6598992,0.13432518,0.20577565
19223330,0.24721482,0.4656906,0.28709462
19610571,0.1822578,0.59935164,0.21839063
19978669,0.20015891,0.18008828,0.61975276
20449586,0.48529914,0.27097112,0.24372976
20513961,0.41930872,0.32007685,0.26061442
20579712,0.16433352,0.1148435,0.720823
20663371,0.31198585,0.34707415,0.34093994
20704787,0.2993663,0.28672373,0.4139099
21363092,0.14778268,0.65339327,0.19882399
21546978,0.73673046,0.113869056,0.1494005
21882851,0.15836112,0.64086777,0.20077117
21998657,0.28853625,0.34705713,0.36440668
22198032,0.37369487,0.3486376,0.2776675
22225330,0.3366657,0.3511655,0.31216884
23109454,0.17000167,0.16941509,0.6605832
23151287,0.37424114,0.34632048,0.2794383
23262408,0.09479258,0.79200846,0.11319901
23454698,0.36481678,0.3582547,0.27692854
