id,pA,pB,pTie
292873,0.18623956,0.6235131,0.19024733
481524,0.2764368,0.42490193,0.29866123
604575,0.3127582,0.4473846,0.23985718
1491225,0.10747675,0.11988193,0.77264124
1744093,0.41629866,0.24590719,0.3377941
1813737,0.38641047,0.34641483,0.26717475
2388511,0.54340726,0.22745442,0.22913834
2857714,0.32764387,0.393225,0.27913117
3259481,0.22115383,0.24702592,0.5318202
3373963,0.57181,0.22026014,0.20792982
3503031,0.6190389,0.18863973,0.1923213
3504181,0.36193132,0.37230814,0.26576057
3519254,0.13586898,0.15048964,0.71364135
3777134,0.1324851,0.7127737,0.15474118
4587071,0.37263688,0.33089408,0.29646897
4961077,0.29383868,0.43151146,0.27464986
5069186,0.60733014,0.1351823,0.2574876
5717448,0.2927692,0.4015218,0.30570894
6058088,0.20110206,0.549313,0.24958497
6223290,0.28766212,0.46668118,0.24565676
6447538,0.09296668,0.7544928,0.1525405
6807968,0.666006,0.13917306,0.19482097
6831350,0.25513574,0.49226257,0.25260168
7599930,0.3273317,0.38280374,0.28986463
8948997,0.2779803,0.38714683,0.33487287
9424912,0.37371385,0.3579727,0.26831344
9484428,0.47469077,0.3021854,0.22312377
9534298,0.49533552,0.24916245,0.25550196
9638121,0.37615454,0.3905167,0.23332871
9740296,0.75616574,0.09255578,0.1512784
10403116,0.747315,0.11554993,0.13713504
10622974,0.22247331,0.6025237,0.17500307
10875646,0.31890613,0.23353848,0.4475553
11288315,0.22934572,0.56979465,0.20085965
11802413,0.17696424,0.62366277,0.199373
12361286,0.68668926,0.1494541,0.1638567
13347957,0.33303195,0.341074,0.32589415
13556772,0.41165638,0.2865403,0.3018033
13657431,0.22805275,0.22866775,0.54327947
13735973,0.21870689,0.2997804,0.4815127
13782880,0.18059862,0.18992905,0.6294723
13797059,0.40585673,0.27604637,0.31809694
14940307,0.3762609,0.33259842,0.2911407
15323548,0.53037983,0.2749873,0.19463292
15372768,0.2691398,0.34580648,0.3850537
15439831,0.5079251,0.22914827,0.2629267
16127462,0.283039,0.3217542,0.39520684
16164492,0.5035643,0.23342569,0.26300994
16192524,0.34046,0.3129959,0.3465441
16685973,0.2687553,0.16619028,0.5650544
16957411,0.29267204,0.38954192,0.31778604
17102186,0.27802446,0.26678088,0.45519462
17697317,0.12372007,0.18236226,0.69391763
17994707,0.3282777,0.390841,0.28088123
18124674,0.2663181,0.36515734,0.36852452
18452420,0.294117,0.33988008,0.36600295
18777426,0.25355977,0.2984616,0.44797865
19055999,0.22772147,0.24405055,0.528228
20317893,0.4193917,0.30952975,0.27107862
20389020,0.22646703,0.49387306,0.27965993
21076858,0.41922858,0.32223094,0.25854045
21469188,0.21270311,0.44209093,0.34520602
21624867,0.09726745,0.78090006,0.12183248
22632044,0.2491894,0.5121898,0.23862086
22875501,0.32733256,0.27482542,0.39784202
23496712,0.61790717,0.17834307,0.20374978
23886831,0.2590064,0.37346727,0.3675264
23981422,0.3290124,0.31431374,0.35667387
24291614,0.25978678,0.5198236,0.22038962
24766918,0.43800598,0.3414391,0.22055501
25629188,0.39003387,0.27945414,0.33051196
25674048,0.37373748,0.2731123,0.3531502
26853196,0.2883701,0.32308486,0.3885451
26887305,0.21639651,0.22017267,0.56343085
27094543,0.42525375,0.3194991,0.25524715
27672843,0.3422281,0.40842432,0.24934761
28647536,0.24319743,0.4310387,0.32576394
29066489,0.222306,0.21726355,0.56043047
29213044,0.38995475,0.34226397,0.26778132
29500587,0.45262736,0.30119586,0.24617675
29769670,0.43323606,0.29892546,0.2678384
30596949,0.5397712,0.2277009,0.23252787
30633394,0.47928473,0.29511052,0.22560477
30716997,0.40168986,0.32228863,0.27602157
30960412,0.31540796,0.3601739,0.32441813
31919812,0.16634777,0.17336184,0.6602904
32811956,0.30628687,0.31262317,0.38108993
33419218,0.1880701,0.5798188,0.23211114
33467556,0.45645317,0.27530286,0.26824394
33583573,0.38180652,0.28646412,0.3317293
35201644,0.41127497,0.3343206,0.25440446
35375799,0.2648971,0.30909488,0.42600802
36222911,0.34469146,0.40298104,0.25232753
37270092,0.5066452,0.26757845,0.22577628
37403219,0.35907745,0.2925094,0.3484131
37882642,0.2997377,0.37902045,0.32124195
37951752,0.07221253,0.83184874,0.09593872
38558732,0.4111699,0.31969494,0.26913524
38857249,0.56885624,0.2225051,0.2086387
39161068,0.14588436,0.6909149,0.16320075
39180293,0.23824139,0.5320762,0.22968246
39827089,0.31865546,0.38817206,0.29317248
39962815,0.3632377,0.3124947,0.3242676
39996578,0.39300674,0.28096363,0.32602966
40059390,0.32132006,0.3464807,0.33219928
40687256,0.22729766,0.5416799,0.23102236
40823165,0.74508524,0.10541135,0.14950338
40959188,0.31496826,0.31868157,0.3663502
41007496,0.5736618,0.22040783,0.2059304
41097827,0.1373775,0.69370496,0.16891755
41126880,0.20631616,0.19031799,0.60336584
43028545,0.34469742,0.32291013,0.33239248
43490392,0.30831194,0.31618258,0.3755055
45349724,0.12977928,0.106738925,0.7634818
45679685,0.5485421,0.22456717,0.22689076
45813536,0.38447177,0.30159786,0.3139304
45978184,0.16114736,0.61513734,0.22371529
46809189,0.3139715,0.18153352,0.50449497
47180516,0.3580257,0.36631498,0.27565926
47651837,0.3550073,0.3387528,0.30623993
47734761,0.29475218,0.40116933,0.30407855
47964341,0.445352,0.34535635,0.20929168
48139544,0.33284137,0.4113751,0.25578362
48165008,0.40692136,0.29482284,0.2982558
48264930,0.081500754,0.8026114,0.11588786
48759239,0.15235256,0.6817285,0.16591898
49360504,0.16770366,0.31194705,0.52034926
49568525,0.3893182,0.35503572,0.25564614
49817121,0.5038525,0.28728822,0.20885926
50272973,0.11676444,0.11593857,0.767297
50508809,0.4668648,0.25584358,0.2772916
50589143,0.19722843,0.20271394,0.60005754
50594058,0.22192384,0.56092894,0.21714717
50608374,0.3841439,0.35259274,0.26326334
50914747,0.4979549,0.29073355,0.2113115
51490527,0.53078055,0.264878,0.20434144
51497349,0.14057717,0.15225028,0.70717263
51653907,0.62812567,0.17568846,0.19618586
51857553,0.24061401,0.3793461,0.38003993
52356911,0.24904047,0.468392,0.2825675
52459595,0.22199309,0.49076173,0.28724515
53017222,0.2035098,0.21534394,0.58114624
53184609,0.41517502,0.35596278,0.22886227
53704229,0.42567083,0.27210498,0.30222425
54080316,0.57868767,0.19791271,0.22339962
54447870,0.29479483,0.3834059,0.32179934
54822700,0.4240645,0.3132014,0.26273412
54866362,0.27372295,0.24919383,0.47708324
54931325,0.2996701,0.33649513,0.36383474
56024811,0.34993324,0.33750018,0.31256658
56649304,0.43715465,0.33104238,0.23180299
56714813,0.7818471,0.08748887,0.13066405
56733980,0.14576048,0.6934026,0.1608369
56975393,0.37835628,0.28994253,0.3317012
58108903,0.38907927,0.4021531,0.20876758
58207052,0.36427754,0.30304864,0.33267373
58628175,0.7009191,0.11889888,0.18018205
59131163,0.22078562,0.4334938,0.34572047
60545540,0.51159126,0.21608396,0.27232477
60548314,0.29623517,0.3496108,0.35415405
60904186,0.33176845,0.3885987,0.2796329
61093234,0.4238534,0.2576434,0.31850314
61160669,0.3102395,0.3162501,0.37351042
61327490,0.59310216,0.21127288,0.195625
61412684,0.12839076,0.71035594,0.16125336
61612801,0.58472776,0.21598577,0.19928649
61925294,0.42697117,0.2935152,0.27951363
62043814,0.5513455,0.12884125,0.3198132
62142106,0.29166773,0.4788606,0.22947171
62424602,0.31957301,0.310841,0.369586
62650316,0.4873266,0.26627043,0.24640304
63461737,0.58198637,0.20891343,0.20910016
63619026,0.24396466,0.27332672,0.48270863
64112033,0.32309034,0.35605463,0.32085505
65111410,0.33905435,0.3160319,0.34491378
66246031,0.31744182,0.31397837,0.36857983
66250487,0.3296219,0.34728038,0.3230977
66310559,0.25791672,0.4565898,0.28549352
66717329,0.37013447,0.33801565,0.29184988
66786209,0.38271216,0.26802805,0.3492598
67327709,0.14721064,0.67000306,0.1827863
67828746,0.31038392,0.36776018,0.32185593
68211145,0.182805,0.5974837,0.21971133
68277554,0.37170464,0.33997437,0.28832096
68299707,0.5414734,0.18556586,0.27296078
69498024,0.24594557,0.4674933,0.28656107
69739263,0.10991016,0.74299276,0.14709708
70186050,0.6839102,0.12277412,0.19331573
70585397,0.3647753,0.23309545,0.40212923
70912581,0.3362817,0.36496577,0.29875255
71683683,0.32690805,0.2922169,0.380875
72350385,0.12102866,0.10790016,0.7710712
72551638,0.3727906,0.3864359,0.2407735
73160093,0.2804386,0.44024077,0.2793207
73160920,0.31645414,0.40350845,0.28003752
73249283,0.11007983,0.090452,0.7994682
73288796,0.2699088,0.32976854,0.4003227
73323467,0.47058538,0.214662,0.31475255
74185665,0.30396628,0.4245797,0.27145395
74630805,0.46041638,0.2995239,0.24005972
74732152,0.4484811,0.27228472,0.27923417
75221603,0.30150446,0.2840805,0.41441503
77445904,0.32437423,0.32481223,0.3508135
77620894,0.39115214,0.25322202,0.35562587
77764403,0.24802558,0.21350542,0.538469
77799737,0.5162942,0.22074297,0.26296285
77822904,0.46306255,0.2974099,0.23952746
77861425,0.22791852,0.2246706,0.54741085
78048540,0.095471285,0.7931172,0.11141149
78238349,0.29440752,0.29909047,0.406502
78429920,0.29190248,0.389953,0.31814444
79293841,0.48809916,0.22880892,0.2830919
79818028,0.3007662,0.20003054,0.49920323
79890507,0.38903272,0.32393003,0.28703725
80014216,0.3894435,0.31776875,0.2927878
80205282,0.2526105,0.32504663,0.42234278
80685096,0.3190774,0.34121284,0.33970976
81192693,0.17906214,0.63636655,0.18457137
81304812,0.29400694,0.32486463,0.38112843
82241435,0.31920052,0.39462033,0.2861791
82742882,0.33158115,0.270978,0.3974408
83379819,0.28340888,0.27526048,0.44133064
84031958,0.31223473,0.39957318,0.28819212
84096412,0.36796257,0.30359933,0.32843813
84127059,0.4207741,0.3167935,0.26243243
84569956,0.3787621,0.32013693,0.30110088
84759783,0.32555,0.32381633,0.35063362
84760327,0.6238414,0.17972703,0.1964316
85305874,0.39924636,0.24217318,0.3585804
85318392,0.16594462,0.6870743,0.14698105
85516503,0.28172848,0.34554836,0.37272313
86326684,0.19416408,0.16182327,0.6440127
86419007,0.33926308,0.3574621,0.30327487
86721623,0.2471745,0.5042981,0.24852748
87473131,0.21202575,0.2465903,0.5413839
87637025,0.3460115,0.31029773,0.34369075
87763287,0.36083764,0.42271018,0.21645218
87907321,0.23172665,0.22496544,0.5433079
88139056,0.28502643,0.41799316,0.29698038
88362449,0.327166,0.23515047,0.43768352
88506917,0.5626873,0.22545525,0.21185748
88696366,0.4265781,0.18350054,0.38992137
88975668,0.39377216,0.36600897,0.24021886
88992408,0.31507677,0.37924698,0.30567634
89253632,0.37554085,0.3183193,0.30613974
89555505,0.19802839,0.29917926,0.50279236
89619745,0.18931596,0.6520466,0.15863739
90353060,0.5445497,0.26887828,0.18657197
90499918,0.7179764,0.118392415,0.1636312
90924664,0.23126604,0.217897,0.5508369
91072929,0.44811136,0.28563824,0.26625043
91120476,0.44960207,0.290751,0.25964692
91200921,0.28795454,0.3034921,0.40855336
91270932,0.39624918,0.34367093,0.26007986
91353116,0.25925514,0.38700268,0.35374215
91406839,0.27633488,0.2828207,0.44084442
91574025,0.5617139,0.22862089,0.20966527
92087698,0.27096248,0.26825038,0.4607871
92757501,0.21399647,0.18576536,0.6002382
93135336,0.22458051,0.22921565,0.5462039
93150483,0.08449312,0.082168534,0.8333384
94023215,0.36098677,0.2038123,0.43520096
94093596,0.28272998,0.33674932,0.3805208
94324643,0.2587019,0.51004833,0.2312498
94505586,0.31700686,0.41833976,0.26465344
94658635,0.2500445,0.4764642,0.27349135
94671712,0.3336246,0.37198424,0.29439119
95091053,0.62576014,0.22547032,0.14876962
95588829,0.47930333,0.27934968,0.24134699
95912792,0.6198765,0.2052824,0.17484112
95989196,0.24302697,0.2265031,0.53046995
96808026,0.09438994,0.77891195,0.1266982
97053367,0.33675024,0.30218777,0.36106202
