id,pA,pB,pTie,label
30192,0.5146955251693726,0.2865491509437561,0.19875532388687134,0
53567,0.2127293199300766,0.5568550229072571,0.23041555285453796,1
65089,0.25980961322784424,0.5053141117095947,0.23487628996372223,2
96401,0.3130892515182495,0.2940824329853058,0.3928283452987671,0
198779,0.26025569438934326,0.47268354892730713,0.267060786485672,1
292873,0.28883227705955505,0.45226365327835083,0.2589041292667389,1
313413,0.2535704970359802,0.5475355982780457,0.19889390468597412,0
370945,0.4382668435573578,0.32956117391586304,0.23217198252677917,1
441448,0.33865952491760254,0.3641872704029083,0.2971532344818115,1
481524,0.35896092653274536,0.37138432264328003,0.2696547210216522,1
497862,0.3844984173774719,0.37270107865333557,0.2428005039691925,1
587904,0.31079238653182983,0.36300310492515564,0.3262045085430145,0
604575,0.39573314785957336,0.41824066638946533,0.18602623045444489,1
738614,0.298003613948822,0.44342219829559326,0.2585742175579071,0
862324,0.23144879937171936,0.28625720739364624,0.4822940528392792,2
863398,0.4261457622051239,0.3618479073047638,0.21200630068778992,1
887722,0.2308221161365509,0.2210569530725479,0.5481209754943848,0
914644,0.3686006963253021,0.34480348229408264,0.28659579157829285,1
933555,0.2468155473470688,0.22295038402080536,0.5302340388298035,2
1120158,0.08981256186962128,0.7731086015701294,0.13707883656024933,1
1256092,0.2938496470451355,0.347987562417984,0.3581628203392029,2
1404102,0.3383764624595642,0.3272477090358734,0.3343757688999176,1
1440765,0.20672768354415894,0.6026397347450256,0.1906326413154602,2
1458108,0.21435396373271942,0.35294902324676514,0.43269696831703186,2
1491225,0.13183480501174927,0.04168879613280296,0.8264763951301575,2
1594211,0.3336178958415985,0.36130934953689575,0.3050727844238281,2
1639617,0.47329896688461304,0.3153603971004486,0.21134066581726074,2
1744093,0.5072758793830872,0.16059750318527222,0.33212652802467346,0
1813737,0.3236916959285736,0.43239739537239075,0.2439109981060028,1
1827787,0.2605661451816559,0.2735491693019867,0.4658846855163574,2
1842252,0.40524181723594666,0.38439488410949707,0.2103632092475891,0
2051408,0.4815778136253357,0.28062716126441956,0.23779502511024475,2
2154496,0.2893827557563782,0.40684884786605835,0.30376845598220825,1
2298796,0.3487733006477356,0.39028847217559814,0.26093825697898865,0
